iteração 0: [[0, 0], 's', 0, 'perceber', None]
iteração 1: [[0, 0], 'o', 0, 'alterar sentido', 'e']
iteração 2: [[0, 0], 'o', 0, 'perceber', None]
iteração 3: [[0, 0], 'n', 0, 'alterar sentido', 'e']
iteração 4: [[0, 0], 'n', 0, 'perceber', None]
iteração 5: [[0, 0], 'n', 0, 'andar', None]
iteração 6: [[0, 0], 'n', 0, 'perceber', None]
iteração 7: [[0, 0], 'n', 0, 'andar', None]
iteração 8: [[0, 0], 'n', 0, 'perceber', None]
iteração 9: [[0, 0], 'o', 0, 'alterar sentido', 'd']
iteração 10: [[0, 0], 'o', 0, 'perceber', None]
iteração 11: [[0, 0], 'o', 0, 'andar', None]
iteração 12: [[0, 0], 'o', 0, 'perceber', None]
iteração 13: [[0, 0], 'o', 0, 'andar', None]
iteração 14: [[0, 0], 'o', 0, 'perceber', None]
iteração 15: [[0, 0], 'n', 0, 'alterar sentido', 'e']
iteração 16: [[0, 0], 'n', 0, 'perceber', None]
iteração 17: [[0, 0], 'n', 0, 'andar', None]
iteração 18: [[0, 0], 'n', 0, 'perceber', None]
iteração 19: [[0, 0], 'n', 0, 'andar', None]
iteração 20: [[0, 0], 'n', 0, 'perceber', None]
iteração 21: [[0, 0], 'l', 0, 'alterar sentido', 'e']
iteração 22: [[0, 0], 'l', 0, 'perceber', None]
iteração 23: [[0, 1], 'l', 0, 'andar', None]
iteração 24: [[0, 1], 'l', 0, 'perceber', None]
iteração 25: [[0, 1], 'n', 0, 'alterar sentido', 'd']
iteração 26: [[0, 1], 'n', 0, 'perceber', None]
iteração 27: [[0, 1], 'n', 0, 'andar', None]
iteração 28: [[0, 1], 'n', 0, 'perceber', None]
iteração 29: [[0, 1], 'n', 0, 'andar', None]
iteração 30: [[0, 1], 'n', 0, 'perceber', None]
iteração 31: [[0, 1], 'l', 0, 'alterar sentido', 'e']
iteração 32: [[0, 1], 'l', 0, 'perceber', None]
iteração 33: [[0, 2], 'l', 0, 'andar', None]
iteração 34: [[0, 2], 'l', 0, 'perceber', None]
iteração 35: [[0, 2], 's', 0, 'alterar sentido', 'e']
iteração 36: [[0, 2], 's', 0, 'perceber', None]
iteração 37: [[0, 2], 'o', 0, 'alterar sentido', 'e']
iteração 38: [[0, 2], 'o', 0, 'perceber', None]
iteração 39: [[0, 2], 's', 0, 'alterar sentido', 'd']
iteração 40: [[0, 2], 's', 0, 'perceber', None]
iteração 41: [[1, 2], 's', 0, 'andar', None]
iteração 42: [[1, 2], 's', 0, 'perceber', None]
iteração 43: [[2, 2], 's', 0, 'andar', None]
iteração 44: [[2, 2], 's', 0, 'perceber', None]
iteração 45: [[3, 2], 's', 0, 'andar', None]
iteração 46: [[3, 2], 's', 0, 'perceber', None]
iteração 47: [[3, 2], 's', 0, 'andar', None]
iteração 48: [[3, 2], 's', 0, 'perceber', None]
iteração 49: [[3, 2], 's', 0, 'andar', None]
iteração 50: [[3, 2], 's', 0, 'perceber', None]
iteração 51: [[3, 2], 's', 0, 'andar', None]
iteração 52: [[3, 2], 's', 0, 'perceber', None]
iteração 53: [[3, 2], 's', 0, 'andar', None]
iteração 54: [[3, 2], 's', 0, 'perceber', None]
iteração 55: [[3, 2], 'l', 0, 'alterar sentido', 'd']
iteração 56: [[3, 2], 'l', 0, 'perceber', None]
iteração 57: [[3, 3], 'l', 0, 'andar', None]
iteração 58: [[3, 3], 'l', 0, 'perceber', None]
iteração 59: [[3, 3], 's', 0, 'alterar sentido', 'e']
iteração 60: [[3, 3], 's', 0, 'perceber', None]
iteração 61: [[3, 3], 's', 0, 'andar', None]
iteração 62: [[3, 3], 's', 0, 'perceber', None]
iteração 63: [[3, 3], 's', 0, 'andar', None]
iteração 64: [[3, 3], 's', 0, 'perceber', None]
iteração 65: [[3, 3], 'o', 0, 'alterar sentido', 'e']
iteração 66: [[3, 3], 'o', 0, 'perceber', None]
iteração 67: [[3, 3], 'n', 0, 'alterar sentido', 'e']
iteração 68: [[3, 3], 'n', 0, 'perceber', None]
iteração 69: [[2, 3], 'n', 0, 'andar', None]
iteração 70: [[2, 3], 'n', 0, 'perceber', None]
iteração 71: [[1, 3], 'n', 0, 'andar', None]
iteração 72: [[1, 3], 'n', 0, 'perceber', None]
iteração 73: [[0, 3], 'n', 0, 'andar', None]
iteração 74: [[0, 3], 'n', 0, 'perceber', None]
iteração 75: [[0, 3], 'n', 0, 'andar', None]
iteração 76: [[0, 3], 'n', 0, 'perceber', None]
iteração 77: [[0, 3], 'n', 0, 'andar', None]
iteração 78: [[0, 3], 'n', 0, 'perceber', None]
iteração 79: [[0, 3], 'l', 0, 'alterar sentido', 'e']
iteração 80: [[0, 3], 'l', 0, 'perceber', None]
iteração 81: [[0, 3], 'l', 0, 'andar', None]
iteração 82: [[0, 3], 'l', 0, 'perceber', None]
iteração 83: [[0, 3], 's', 0, 'alterar sentido', 'e']
iteração 84: [[0, 3], 's', 0, 'perceber', None]
iteração 85: [[0, 3], 'o', 0, 'alterar sentido', 'e']
iteração 86: [[0, 3], 'o', 0, 'perceber', None]
iteração 87: [[0, 2], 'o', 0, 'andar', None]
iteração 88: [[0, 2], 'o', 0, 'perceber', None]
iteração 89: [[0, 2], 'n', 0, 'alterar sentido', 'e']
iteração 90: [[0, 2], 'n', 0, 'perceber', None]
iteração 91: [[0, 2], 'n', 0, 'andar', None]
iteração 92: [[0, 2], 'n', 0, 'perceber', None]
iteração 93: [[0, 2], 'n', 0, 'andar', None]
iteração 94: [[0, 2], 'n', 0, 'perceber', None]
iteração 95: [[0, 2], 'n', 0, 'andar', None]
iteração 96: [[0, 2], 'n', 0, 'perceber', None]
iteração 97: [[0, 2], 'o', 0, 'alterar sentido', 'd']
iteração 98: [[0, 2], 'o', 0, 'perceber', None]
iteração 99: [[0, 2], 's', 0, 'alterar sentido', 'd']
iteração 100: [[0, 2], 's', 0, 'perceber', None]
iteração 101: [[0, 2], 'o', 0, 'alterar sentido', 'e']
iteração 102: [[0, 2], 'o', 0, 'perceber', None]
iteração 103: [[0, 1], 'o', 0, 'andar', None]
iteração 104: [[0, 1], 'o', 0, 'perceber', None]
iteração 105: [[0, 1], 's', 0, 'alterar sentido', 'd']
iteração 106: [[0, 1], 's', 0, 'perceber', None]
iteração 107: [[1, 1], 's', 0, 'andar', None]
iteração 108: [[1, 1], 's', 0, 'perceber', None]
iteração 109: [[1, 1], 'o', 0, 'alterar sentido', 'e']
iteração 110: [[1, 1], 'o', 0, 'perceber', None]
iteração 111: [[1, 1], 's', 0, 'alterar sentido', 'd']
iteração 112: [[1, 1], 's', 0, 'perceber', None]
iteração 113: [[2, 1], 's', 0, 'andar', None]
iteração 114: [[2, 1], 's', 0, 'perceber', None]
iteração 115: [[2, 1], 'o', 0, 'alterar sentido', 'e']
iteração 116: [[2, 1], 'o', 0, 'perceber', None]
