iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[2, 0], 's', 2, 0, 'andar', None]
iteração 4: [[2, 0], 's', 3, 1, 'limpar', None]
iteração 5: [[3, 0], 's', 3, 0, 'andar', None]
iteração 6: [[3, 0], 's', 4, 1, 'limpar', None]
iteração 7: [[4, 0], 's', 4, 0, 'andar', None]
iteração 8: [[4, 0], 's', 5, 1, 'limpar', None]
iteração 9: [[5, 0], 's', 5, 0, 'andar', None]
iteração 10: [[5, 0], 's', 6, 1, 'limpar', None]
iteração 11: [[6, 0], 's', 6, 0, 'andar', None]
iteração 12: [[6, 0], 's', 7, 1, 'limpar', None]
iteração 13: [[7, 0], 's', 7, 0, 'andar', None]
iteração 14: [[7, 0], 's', 8, 1, 'limpar', None]
iteração 15: [[7, 0], 's', 8, 0, 'andar', None]
iteração 16: [[7, 0], 'o', 8, -1, 'alterar sentido', 'e']
iteração 17: [[7, 1], 'o', 8, -2, 'andar', None]
iteração 18: [[7, 2], 'o', 8, -3, 'andar', None]
iteração 19: [[7, 3], 'o', 8, -4, 'andar', None]
iteração 20: [[7, 4], 'o', 8, -5, 'andar', None]
iteração 21: [[7, 4], 'o', 9, -4, 'limpar', None]
iteração 22: [[7, 5], 'o', 9, -5, 'andar', None]
iteração 23: [[7, 5], 'o', 10, -4, 'limpar', None]
iteração 24: [[7, 6], 'o', 10, -5, 'andar', None]
iteração 25: [[7, 6], 'o', 11, -4, 'limpar', None]
iteração 26: [[7, 7], 'o', 11, -5, 'andar', None]
iteração 27: [[7, 7], 'o', 12, -4, 'limpar', None]
iteração 28: [[7, 7], 'o', 12, -5, 'andar', None]
iteração 29: [[7, 7], 'n', 12, -6, 'alterar sentido', 'e']
iteração 30: [[6, 7], 'n', 12, -7, 'andar', None]
iteração 31: [[5, 7], 'n', 12, -8, 'andar', None]
iteração 32: [[5, 7], 'n', 13, -7, 'limpar', None]
iteração 33: [[4, 7], 'n', 13, -8, 'andar', None]
iteração 34: [[3, 7], 'n', 13, -9, 'andar', None]
iteração 35: [[3, 7], 'n', 14, -8, 'limpar', None]
iteração 36: [[2, 7], 'n', 14, -9, 'andar', None]
iteração 37: [[2, 7], 'n', 15, -8, 'limpar', None]
iteração 38: [[1, 7], 'n', 15, -9, 'andar', None]
iteração 39: [[0, 7], 'n', 15, -10, 'andar', None]
iteração 40: [[0, 7], 'n', 15, -11, 'andar', None]
iteração 41: [[0, 7], 'l', 15, -12, 'alterar sentido', 'e']
iteração 42: [[0, 6], 'l', 15, -13, 'andar', None]
iteração 43: [[0, 5], 'l', 15, -14, 'andar', None]
iteração 44: [[0, 4], 'l', 15, -15, 'andar', None]
iteração 45: [[0, 4], 'l', 16, -14, 'limpar', None]
iteração 46: [[0, 3], 'l', 16, -15, 'andar', None]
iteração 47: [[0, 2], 'l', 16, -16, 'andar', None]
iteração 48: [[0, 1], 'l', 16, -17, 'andar', None]
iteração 49: [[0, 0], 'l', 16, -18, 'andar', None]
iteração 50: [[0, 0], 'l', 16, -18, 'Retornar a HOME', None]
