iteração 0: [[0, 0], 's', 1, 1, 'limpar', None]
iteração 1: [[1, 0], 's', 1, 0, 'andar', None]
iteração 2: [[1, 0], 's', 2, 1, 'limpar', None]
iteração 3: [[1, 0], 'o', 2, 0, 'alterar sentido', 'e']
iteração 4: [[1, 0], 's', 2, -1, 'alterar sentido', 'd']
iteração 5: [[2, 0], 's', 2, -2, 'andar', None]
iteração 6: [[2, 0], 's', 3, -1, 'limpar', None]
iteração 7: [[2, 0], 'o', 3, -2, 'alterar sentido', 'e']
iteração 8: [[2, 1], 'o', 3, -3, 'andar', None]
iteração 9: [[2, 1], 'n', 3, -4, 'alterar sentido', 'e']
iteração 10: [[1, 1], 'n', 3, -5, 'andar', None]
iteração 11: [[0, 1], 'n', 3, -6, 'andar', None]
iteração 12: [[0, 1], 'o', 3, -7, 'alterar sentido', 'd']
iteração 13: [[0, 2], 'o', 3, -8, 'andar', None]
iteração 14: [[0, 2], 'n', 3, -9, 'alterar sentido', 'e']
iteração 15: [[0, 2], 'n', 3, -10, 'andar', None]
iteração 16: [[0, 2], 'l', 3, -11, 'alterar sentido', 'e']
iteração 17: [[0, 1], 'l', 3, -12, 'andar', None]
iteração 18: [[0, 0], 'l', 3, -13, 'andar', None]
iteração 19: [[0, 0], 'l', 3, -13, 'Retornar a HOME', None]
